Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.2,75,10,6,0.21383333333333332,0.2195,pca
28,0.2,75,50,6,0.21983333333333333,0.2195,dw_pmad
28,0.4,1,10,6,0.29,0.4655,pca
28,0.4,1,1,6,0.2905,0.4655,pca
28,0.2,1,10,10,0.1899,0.2655,pca
28,0.2,1,50,10,0.1898,0.2655,pca
28,0.2,30,1,10,0.2547,0.2655,pca
28,0.2,50,5,10,0.265,0.2655,pca
28,0.2,10,5,10,0.2258,0.2655,pca
28,0.2,30,10,10,0.2545,0.2655,pca
28,0.2,30,50,10,0.26,0.2655,pca
28,0.2,10,25,10,0.2279,0.2655,pca
28,0.2,50,25,10,0.2645,0.2655,pca
28,0.2,75,1,10,0.2587,0.2655,pca
28,0.2,100,25,10,0.2602,0.2655,pca
28,0.2,75,10,10,0.2602,0.2655,pca
28,0.2,100,5,10,0.2592,0.2655,pca
28,0.2,75,50,10,0.2652,0.2655,pca
28,0.4,1,10,10,0.3381,0.512,pca
28,0.4,1,1,10,0.3358,0.512,pca
28,0.2,1,10,15,0.22986666666666666,0.31406666666666666,pca
28,0.2,1,50,15,0.23,0.31406666666666666,pca
28,0.2,30,1,15,0.3004,0.31406666666666666,pca
28,0.2,50,5,15,0.31106666666666666,0.31406666666666666,pca
28,0.2,10,5,15,0.27266666666666667,0.31406666666666666,pca
28,0.2,30,10,15,0.3052666666666667,0.31406666666666666,pca
28,0.2,10,25,15,0.271,0.31406666666666666,pca
28,0.2,30,50,15,0.31166666666666665,0.31406666666666666,pca
28,0.2,50,25,15,0.3114,0.31406666666666666,pca
28,0.2,75,1,15,0.3068,0.31406666666666666,pca
28,0.2,100,25,15,0.30493333333333333,0.31406666666666666,pca
28,0.2,75,10,15,0.305,0.31406666666666666,pca
28,0.2,100,5,15,0.3054,0.31406666666666666,pca
28,0.2,75,50,15,0.31206666666666666,0.31406666666666666,pca
28,0.4,1,10,15,0.375,0.5480666666666667,pca
28,0.4,1,1,15,0.37453333333333333,0.5480666666666667,pca
28,0.2,1,25,3,0.105,0.165,pca
28,0.2,10,1,3,0.12633333333333333,0.165,pca
28,0.2,30,5,3,0.16,0.165,pca
28,0.2,50,10,3,0.16466666666666666,0.165,pca
28,0.2,50,1,3,0.16466666666666666,0.165,pca
28,0.2,100,50,3,0.16466666666666666,0.165,pca
28,0.2,10,10,3,0.12866666666666668,0.165,pca
28,0.2,50,50,3,0.16566666666666666,0.165,dw_pmad
28,0.2,100,10,3,0.161,0.165,pca
28,0.2,100,1,3,0.157,0.165,pca
28,0.2,75,5,3,0.155,0.165,pca
28,0.2,30,25,3,0.148,0.165,pca
28,0.2,10,50,3,0.13133333333333333,0.165,pca
28,0.2,75,25,3,0.16233333333333333,0.165,pca
28,0.4,1,5,3,0.241,0.404,pca
28,0.4,1,25,3,0.24,0.404,pca
28,0.2,1,25,6,0.15083333333333335,0.2195,pca
28,0.2,10,1,6,0.181,0.2195,pca
28,0.2,30,5,6,0.21716666666666667,0.2195,pca
28,0.2,50,1,6,0.21966666666666668,0.2195,dw_pmad
28,0.2,50,10,6,0.21883333333333332,0.2195,pca
28,0.2,100,50,6,0.21883333333333332,0.2195,pca
28,0.2,10,10,6,0.1775,0.2195,pca
28,0.2,50,50,6,0.21816666666666668,0.2195,pca
28,0.2,100,1,6,0.21816666666666668,0.2195,pca
28,0.2,100,10,6,0.21533333333333332,0.2195,pca
28,0.2,30,25,6,0.20733333333333334,0.2195,pca
28,0.2,75,5,6,0.21033333333333334,0.2195,pca
28,0.2,10,50,6,0.183,0.2195,pca
28,0.2,75,25,6,0.22066666666666668,0.2195,dw_pmad
28,0.4,1,5,6,0.2895,0.4655,pca
28,0.4,1,25,6,0.2891666666666667,0.4655,pca
28,0.2,1,25,10,0.1895,0.2655,pca
28,0.2,10,1,10,0.2286,0.2655,pca
28,0.2,30,5,10,0.2587,0.2655,pca
28,0.2,50,1,10,0.2632,0.2655,pca
28,0.2,50,10,10,0.2643,0.2655,pca
28,0.2,10,10,10,0.232,0.2655,pca
28,0.2,100,50,10,0.2604,0.2655,pca
28,0.2,50,50,10,0.2652,0.2655,pca
28,0.2,100,1,10,0.2591,0.2655,pca
28,0.2,100,10,10,0.2568,0.2655,pca
28,0.2,30,25,10,0.2536,0.2655,pca
28,0.2,75,5,10,0.2555,0.2655,pca
28,0.2,10,50,10,0.2263,0.2655,pca
28,0.2,75,25,10,0.2661,0.2655,dw_pmad
28,0.4,1,5,10,0.3378,0.512,pca
28,0.4,1,25,10,0.3388,0.512,pca
28,0.2,1,25,15,0.23053333333333334,0.31406666666666666,pca
28,0.2,10,1,15,0.2654666666666667,0.31406666666666666,pca
28,0.2,30,5,15,0.30673333333333336,0.31406666666666666,pca
28,0.2,50,10,15,0.30806666666666666,0.31406666666666666,pca
28,0.2,50,1,15,0.3116,0.31406666666666666,pca
28,0.2,10,10,15,0.2754,0.31406666666666666,pca
28,0.2,50,50,15,0.3096,0.31406666666666666,pca
28,0.2,100,50,15,0.3074,0.31406666666666666,pca
28,0.2,100,1,15,0.30473333333333336,0.31406666666666666,pca
28,0.2,30,25,15,0.3061333333333333,0.31406666666666666,pca
28,0.2,100,10,15,0.30506666666666665,0.31406666666666666,pca
28,0.2,75,5,15,0.3065333333333333,0.31406666666666666,pca
28,0.2,10,50,15,0.2670666666666667,0.31406666666666666,pca
28,0.2,75,25,15,0.31306666666666666,0.31406666666666666,pca
28,0.4,1,5,15,0.3754,0.5480666666666667,pca
28,0.4,1,25,15,0.375,0.5480666666666667,pca
28,0.4,1,50,3,0.24066666666666667,0.404,pca
28,0.4,100,5,3,0.4116666666666667,0.404,dw_pmad
28,0.4,10,5,3,0.338,0.404,pca
28,0.4,30,1,3,0.391,0.404,pca
28,0.4,100,25,3,0.4126666666666667,0.404,dw_pmad
28,0.4,75,1,3,0.411,0.404,dw_pmad
28,0.4,30,10,3,0.379,0.404,pca
28,0.4,75,10,3,0.4083333333333333,0.404,dw_pmad
28,0.4,50,25,3,0.4046666666666667,0.404,dw_pmad
28,0.4,30,50,3,0.3923333333333333,0.404,pca
28,0.4,50,5,3,0.407,0.404,dw_pmad
28,0.4,10,25,3,0.326,0.404,pca
28,0.4,75,50,3,0.41133333333333333,0.404,dw_pmad
28,0.4,1,50,6,0.2891666666666667,0.4655,pca
28,0.4,10,5,6,0.4013333333333333,0.4655,pca
28,0.4,100,5,6,0.47733333333333333,0.4655,dw_pmad
28,0.4,30,1,6,0.45966666666666667,0.4655,pca
28,0.4,100,25,6,0.476,0.4655,dw_pmad
28,0.4,75,1,6,0.47383333333333333,0.4655,dw_pmad
28,0.4,30,10,6,0.44116666666666665,0.4655,pca
28,0.4,75,10,6,0.4745,0.4655,dw_pmad
28,0.4,50,25,6,0.4673333333333333,0.4655,dw_pmad
28,0.4,30,50,6,0.45466666666666666,0.4655,pca
28,0.4,50,5,6,0.4661666666666667,0.4655,dw_pmad
28,0.4,10,25,6,0.3933333333333333,0.4655,pca
28,0.4,75,50,6,0.4735,0.4655,dw_pmad
28,0.4,1,50,10,0.3376,0.512,pca
28,0.4,10,5,10,0.4434,0.512,pca
28,0.4,100,5,10,0.5165,0.512,dw_pmad
28,0.4,30,1,10,0.5028,0.512,pca
28,0.4,100,25,10,0.5158,0.512,dw_pmad
28,0.4,75,1,10,0.5198,0.512,dw_pmad
28,0.4,30,10,10,0.4873,0.512,pca
28,0.4,75,10,10,0.5161,0.512,dw_pmad
28,0.4,50,25,10,0.5105,0.512,pca
28,0.4,30,50,10,0.4903,0.512,pca
28,0.4,50,5,10,0.5125,0.512,dw_pmad
28,0.4,10,25,10,0.4365,0.512,pca
28,0.4,75,50,10,0.5221,0.512,dw_pmad
28,0.4,1,50,15,0.3752666666666667,0.5480666666666667,pca
28,0.4,10,5,15,0.4752,0.5480666666666667,pca
28,0.4,100,5,15,0.555,0.5480666666666667,dw_pmad
28,0.4,30,1,15,0.5363333333333333,0.5480666666666667,pca
28,0.4,100,25,15,0.5577333333333333,0.5480666666666667,dw_pmad
28,0.4,75,1,15,0.5581333333333334,0.5480666666666667,dw_pmad
28,0.4,30,10,15,0.5265333333333333,0.5480666666666667,pca
28,0.4,75,10,15,0.5595333333333333,0.5480666666666667,dw_pmad
28,0.4,50,25,15,0.5522666666666667,0.5480666666666667,dw_pmad
28,0.4,30,50,15,0.5262666666666667,0.5480666666666667,pca
28,0.4,50,5,15,0.5536,0.5480666666666667,dw_pmad
28,0.4,10,25,15,0.4782,0.5480666666666667,pca
28,0.4,75,50,15,0.5602666666666667,0.5480666666666667,dw_pmad
28,0.4,10,1,3,0.3616666666666667,0.404,pca
28,0.4,100,10,3,0.4116666666666667,0.404,dw_pmad
28,0.4,100,50,3,0.41133333333333333,0.404,dw_pmad
28,0.4,10,10,3,0.366,0.404,pca
28,0.4,30,5,3,0.39866666666666667,0.404,pca
28,0.4,50,1,3,0.402,0.404,pca
28,0.4,75,5,3,0.4166666666666667,0.404,dw_pmad
28,0.4,100,1,3,0.4116666666666667,0.404,dw_pmad
28,0.4,75,25,3,0.4103333333333333,0.404,dw_pmad
28,0.4,30,25,3,0.38666666666666666,0.404,pca
28,0.4,50,10,3,0.4013333333333333,0.404,pca
28,0.4,50,50,3,0.408,0.404,dw_pmad
28,0.4,10,1,6,0.4196666666666667,0.4655,pca
28,0.4,100,10,6,0.47333333333333333,0.4655,dw_pmad
