Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s),Autoencoder Accuracy,FastICA Accuracy,FeatureAgglomeration Accuracy,LLE Accuracy,NMF Accuracy,RandomProjection Accuracy,VAE Accuracy,tSNE Accuracy,Autoencoder MethodTime(s),FastICA MethodTime(s),FeatureAgglomeration MethodTime(s),LLE MethodTime(s),NMF MethodTime(s),RandomProjection MethodTime(s),VAE MethodTime(s),tSNE MethodTime(s),LSH Accuracy,LSH MethodTime(s)
200,0.05,80,35,6,0.101666667,0.148055556,0.255277778,0.125,0.081944444,0.156111111,umap,90.81360489,0.009360963,2.937699984,0.32648151,0.322376531,9.790938195,0.0858333333333333,0.1463888888888889,0.1061111111111111,0.1194444444444444,0.1347222222222222,0.1025,0.1333333333333333,0.1622222222222222,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.027222222,0.0011273
200,0.05,80,35,10,0.108,0.175166667,0.242,0.123166667,0.076833333,0.1845,umap,90.81360489,0.009360963,2.937699984,0.32648151,0.322376531,9.790938195,0.0963333333333333,0.1696666666666666,0.1075,0.1013333333333333,0.1493333333333333,0.1056666666666666,0.1433333333333333,0.173,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.037,0.0011273
200,0.05,80,35,15,0.125111111,0.194444444,0.240666667,0.130777778,0.079666667,0.216777778,umap,90.81360489,0.009360963,2.937699984,0.32648151,0.322376531,9.790938195,0.1104444444444444,0.19,0.1194444444444444,0.0883333333333333,0.1694444444444444,0.1228888888888889,0.1666666666666666,0.1808888888888888,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.054,0.0011273
200,0.05,80,50,1,0.253333333,0.266666667,0.251666667,0.238333333,0.235,0.223333333,pca,111.5971614,0.012561682,2.991413886,0.313799666,0.392875539,9.730874339,0.2433333333333333,0.275,0.255,0.2683333333333333,0.27,0.265,0.2616666666666666,0.1316666666666666,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.006666667,0.0011273
200,0.05,80,50,3,0.115555556,0.153333333,0.261111111,0.118333333,0.106111111,0.14,umap,111.5971614,0.012561682,2.991413886,0.313799666,0.392875539,9.730874339,0.1061111111111111,0.1477777777777777,0.1261111111111111,0.1505555555555555,0.1422222222222222,0.1305555555555555,0.1522222222222222,0.1544444444444444,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.02,0.0011273
200,0.05,80,50,6,0.101666667,0.148055556,0.255277778,0.125,0.081944444,0.156111111,umap,111.5971614,0.012561682,2.991413886,0.313799666,0.392875539,9.730874339,0.0858333333333333,0.1463888888888889,0.1061111111111111,0.1194444444444444,0.1347222222222222,0.1025,0.1333333333333333,0.1622222222222222,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.027222222,0.0011273
200,0.05,80,50,10,0.108166667,0.175166667,0.242,0.123166667,0.076833333,0.1845,umap,111.5971614,0.012561682,2.991413886,0.313799666,0.392875539,9.730874339,0.0963333333333333,0.1696666666666666,0.1075,0.1013333333333333,0.1493333333333333,0.1056666666666666,0.1433333333333333,0.173,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.037,0.0011273
200,0.05,80,50,15,0.125,0.194444444,0.240666667,0.130777778,0.079666667,0.216777778,umap,111.5971614,0.012561682,2.991413886,0.313799666,0.392875539,9.730874339,0.1104444444444444,0.19,0.1194444444444444,0.0883333333333333,0.1694444444444444,0.1228888888888889,0.1666666666666666,0.1808888888888888,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.054,0.0011273
200,0.05,80,10000,1,0.253333333,0.266666667,0.251666667,0.238333333,0.235,0.223333333,pca,116.2308978,0.009333411,2.93013991,0.309050091,0.396577762,9.767896487,0.2433333333333333,0.275,0.255,0.2683333333333333,0.27,0.265,0.2616666666666666,0.1316666666666666,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.006666667,0.0011273
200,0.05,80,10000,3,0.115,0.153333333,0.261111111,0.118333333,0.106111111,0.14,umap,116.2308978,0.009333411,2.93013991,0.309050091,0.396577762,9.767896487,0.1061111111111111,0.1477777777777777,0.1261111111111111,0.1505555555555555,0.1422222222222222,0.1305555555555555,0.1522222222222222,0.1544444444444444,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.02,0.0011273
200,0.05,80,10000,6,0.101944444,0.148055556,0.255277778,0.125,0.081944444,0.156111111,umap,116.2308978,0.009333411,2.93013991,0.309050091,0.396577762,9.767896487,0.0858333333333333,0.1463888888888889,0.1061111111111111,0.1194444444444444,0.1347222222222222,0.1025,0.1333333333333333,0.1622222222222222,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.027222222,0.0011273
200,0.05,80,10000,10,0.107333333,0.175166667,0.242,0.123166667,0.076833333,0.1845,umap,116.2308978,0.009333411,2.93013991,0.309050091,0.396577762,9.767896487,0.0963333333333333,0.1696666666666666,0.1075,0.1013333333333333,0.1493333333333333,0.1056666666666666,0.1433333333333333,0.173,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.037,0.0011273
200,0.05,80,10000,15,0.124222222,0.194444444,0.240666667,0.130777778,0.079666667,0.216777778,umap,116.2308978,0.009333411,2.93013991,0.309050091,0.396577762,9.767896487,0.1104444444444444,0.19,0.1194444444444444,0.0883333333333333,0.1694444444444444,0.1228888888888889,0.1666666666666666,0.1808888888888888,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.054,0.0011273
200,0.1,80,1,1,0.318333333,0.315,0.271666667,0.253333333,0.26,0.306666667,dw_pmad,139.1688563,0.010472336,3.269115828,0.367891405,0.317173726,10.11871864,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
200,0.1,80,1,3,0.199444444,0.243888889,0.261666667,0.166666667,0.133888889,0.227777778,umap,139.1688563,0.010472336,3.269115828,0.367891405,0.317173726,10.11871864,0.1505555555555555,0.2372222222222222,0.1672222222222222,0.1838888888888888,0.2011111111111111,0.1938888888888889,0.1927777777777777,0.1444444444444444,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.036666667,0.0015214
200,0.1,80,1,6,0.187777778,0.254444444,0.263888889,0.198888889,0.113333333,0.2525,umap,139.1688563,0.010472336,3.269115828,0.367891405,0.317173726,10.11871864,0.1502777777777778,0.2555555555555555,0.1563888888888888,0.1502777777777778,0.2127777777777778,0.1747222222222222,0.1863888888888888,0.1502777777777778,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.043888889,0.0015214
200,0.1,80,1,10,0.202166667,0.285833333,0.2475,0.186833333,0.104166667,0.286,mds,139.1688563,0.010472336,3.269115828,0.367891405,0.317173726,10.11871864,0.1633333333333333,0.2893333333333333,0.1703333333333333,0.124,0.2363333333333333,0.1836666666666666,0.2015,0.159,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.058333333,0.0015214
200,0.1,80,1,15,0.228444444,0.321,0.245222222,0.174333333,0.102888889,0.326555556,mds,139.1688563,0.010472336,3.269115828,0.367891405,0.317173726,10.11871864,0.1865555555555555,0.3187777777777777,0.1882222222222222,0.1053333333333333,0.272,0.1998888888888889,0.2291111111111111,0.1655555555555555,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.072222222,0.0015214
200,0.1,80,6,1,0.313333333,0.315,0.271666667,0.253333333,0.26,0.306666667,pca,218.2514302,0.009582895,3.188330275,0.391491106,0.359465167,10.10047576,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
200,0.1,80,6,3,0.2,0.243888889,0.261666667,0.166666667,0.133888889,0.227777778,umap,218.2514302,0.009582895,3.188330275,0.391491106,0.359465167,10.10047576,0.1505555555555555,0.2372222222222222,0.1672222222222222,0.1838888888888888,0.2011111111111111,0.1938888888888889,0.1927777777777777,0.1444444444444444,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.036666667,0.0015214
200,0.1,80,6,6,0.188611111,0.254444444,0.263888889,0.198888889,0.113333333,0.2525,umap,218.2514302,0.009582895,3.188330275,0.391491106,0.359465167,10.10047576,0.1502777777777778,0.2555555555555555,0.1563888888888888,0.1502777777777778,0.2127777777777778,0.1747222222222222,0.1863888888888888,0.1502777777777778,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.043888889,0.0015214
200,0.1,80,6,10,0.201333333,0.285833333,0.2475,0.186833333,0.104166667,0.286,mds,218.2514302,0.009582895,3.188330275,0.391491106,0.359465167,10.10047576,0.1633333333333333,0.2893333333333333,0.1703333333333333,0.124,0.2363333333333333,0.1836666666666666,0.2015,0.159,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.058333333,0.0015214
200,0.1,80,6,15,0.228555556,0.321,0.245222222,0.174333333,0.102888889,0.326555556,mds,218.2514302,0.009582895,3.188330275,0.391491106,0.359465167,10.10047576,0.1865555555555555,0.3187777777777777,0.1882222222222222,0.1053333333333333,0.272,0.1998888888888889,0.2291111111111111,0.1655555555555555,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.072222222,0.0015214
200,0.1,80,12,1,0.311666667,0.315,0.271666667,0.253333333,0.26,0.306666667,pca,142.636671,0.010155144,3.229132407,0.332394071,0.390251903,9.959925306,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
200,0.1,80,12,3,0.199444444,0.243888889,0.261666667,0.166666667,0.133888889,0.227777778,umap,142.636671,0.010155144,3.229132407,0.332394071,0.390251903,9.959925306,0.1505555555555555,0.2372222222222222,0.1672222222222222,0.1838888888888888,0.2011111111111111,0.1938888888888889,0.1927777777777777,0.1444444444444444,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.036666667,0.0015214
200,0.1,80,12,6,0.190555556,0.254444444,0.263888889,0.198888889,0.113333333,0.2525,umap,142.636671,0.010155144,3.229132407,0.332394071,0.390251903,9.959925306,0.1502777777777778,0.2555555555555555,0.1563888888888888,0.1502777777777778,0.2127777777777778,0.1747222222222222,0.1863888888888888,0.1502777777777778,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.043888889,0.0015214
200,0.1,80,12,10,0.202666667,0.285833333,0.2475,0.186833333,0.104166667,0.286,mds,142.636671,0.010155144,3.229132407,0.332394071,0.390251903,9.959925306,0.1633333333333333,0.2893333333333333,0.1703333333333333,0.124,0.2363333333333333,0.1836666666666666,0.2015,0.159,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.058333333,0.0015214
200,0.1,80,12,15,0.229111111,0.321,0.245222222,0.174333333,0.102888889,0.326555556,mds,142.636671,0.010155144,3.229132407,0.332394071,0.390251903,9.959925306,0.1865555555555555,0.3187777777777777,0.1882222222222222,0.1053333333333333,0.272,0.1998888888888889,0.2291111111111111,0.1655555555555555,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.072222222,0.0015214
