Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.1,100,10000,1,0.465,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,61.52237405,0.007705789,2.223806053,0.23705683,0.261595717,6.813926614
200,0.1,100,10000,3,0.441111111,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,61.52237405,0.007705789,2.223806053,0.23705683,0.261595717,6.813926614
200,0.1,100,10000,6,0.443333333,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,61.52237405,0.007705789,2.223806053,0.23705683,0.261595717,6.813926614
200,0.1,100,10000,10,0.450666667,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,61.52237405,0.007705789,2.223806053,0.23705683,0.261595717,6.813926614
200,0.1,100,10000,15,0.456888889,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,61.52237405,0.007705789,2.223806053,0.23705683,0.261595717,6.813926614
200,0.2,100,1,1,0.606666667,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,100.0926542,0.302523136,2.472678465,0.385490803,0.289063703,7.43155928
200,0.2,100,1,3,0.611666667,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,100.0926542,0.302523136,2.472678465,0.385490803,0.289063703,7.43155928
200,0.2,100,1,6,0.601666667,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,100.0926542,0.302523136,2.472678465,0.385490803,0.289063703,7.43155928
200,0.2,100,1,10,0.599833333,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,100.0926542,0.302523136,2.472678465,0.385490803,0.289063703,7.43155928
200,0.2,100,1,15,0.598777778,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,100.0926542,0.302523136,2.472678465,0.385490803,0.289063703,7.43155928
200,0.2,100,6,1,0.613333333,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,124.8549065,0.208258181,2.464488135,0.266368712,0.235946328,7.347832571
200,0.2,100,6,3,0.6,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,124.8549065,0.208258181,2.464488135,0.266368712,0.235946328,7.347832571
200,0.2,100,6,6,0.602777778,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,124.8549065,0.208258181,2.464488135,0.266368712,0.235946328,7.347832571
200,0.2,100,6,10,0.598,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,124.8549065,0.208258181,2.464488135,0.266368712,0.235946328,7.347832571
200,0.2,100,6,15,0.599777778,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,124.8549065,0.208258181,2.464488135,0.266368712,0.235946328,7.347832571
