Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
50,0.05,100,15,6,0.19,0.19111111111111112,0.2777777777777778,0.16,0.14055555555555554,0.17722222222222223,umap
50,0.05,100,20,6,0.19,0.19111111111111112,0.2777777777777778,0.16,0.14055555555555554,0.17722222222222223,umap
50,0.05,100,8,6,0.19,0.19111111111111112,0.2777777777777778,0.16,0.14055555555555554,0.17722222222222223,umap
50,0.05,100,10,6,0.19,0.19111111111111112,0.2777777777777778,0.16,0.14055555555555554,0.17722222222222223,umap
50,0.1,100,15,6,0.3983333333333333,0.4,0.37,0.26666666666666666,0.23555555555555555,0.4177777777777778,mds
50,0.1,100,8,6,0.4011111111111111,0.4,0.37,0.26666666666666666,0.23555555555555555,0.4177777777777778,mds
50,0.1,100,20,6,0.39222222222222225,0.4,0.37,0.26666666666666666,0.23555555555555555,0.4177777777777778,mds
50,0.1,100,12,6,0.39611111111111114,0.4,0.37,0.26666666666666666,0.23555555555555555,0.4177777777777778,mds
50,0.1,100,10,6,0.4011111111111111,0.4,0.37,0.26666666666666666,0.23555555555555555,0.4177777777777778,mds
50,0.2,100,12,6,0.5761111111111111,0.5677777777777778,0.3638888888888889,0.365,0.31777777777777777,0.6111111111111112,mds
50,0.2,100,8,6,0.5655555555555556,0.5677777777777778,0.3638888888888889,0.365,0.31777777777777777,0.6111111111111112,mds
50,0.2,100,10,6,0.5666666666666667,0.5677777777777778,0.3638888888888889,0.365,0.31777777777777777,0.6111111111111112,mds
50,0.2,100,15,6,0.5755555555555556,0.5677777777777778,0.3638888888888889,0.365,0.31777777777777777,0.6111111111111112,mds
50,0.2,100,20,6,0.5683333333333334,0.5677777777777778,0.3638888888888889,0.365,0.31777777777777777,0.6111111111111112,mds
50,0.05,100,12,10,0.25666666666666665,0.25733333333333336,0.33266666666666667,0.223,0.182,0.23866666666666667,umap
50,0.05,100,15,10,0.259,0.25733333333333336,0.33266666666666667,0.223,0.182,0.23866666666666667,umap
50,0.05,100,20,10,0.25866666666666666,0.25733333333333336,0.33266666666666667,0.223,0.182,0.23866666666666667,umap
50,0.05,100,8,10,0.25866666666666666,0.25733333333333336,0.33266666666666667,0.223,0.182,0.23866666666666667,umap
50,0.05,100,10,10,0.25866666666666666,0.25733333333333336,0.33266666666666667,0.223,0.182,0.23866666666666667,umap
50,0.1,100,8,10,0.4746666666666667,0.46366666666666667,0.405,0.3426666666666667,0.30433333333333334,0.49466666666666664,mds
50,0.1,100,15,10,0.4686666666666667,0.46366666666666667,0.405,0.3426666666666667,0.30433333333333334,0.49466666666666664,mds
50,0.1,100,20,10,0.472,0.46366666666666667,0.405,0.3426666666666667,0.30433333333333334,0.49466666666666664,mds
50,0.1,100,12,10,0.474,0.46366666666666667,0.405,0.3426666666666667,0.30433333333333334,0.49466666666666664,mds
50,0.1,100,10,10,0.47,0.46366666666666667,0.405,0.3426666666666667,0.30433333333333334,0.49466666666666664,mds
50,0.2,100,12,10,0.6443333333333333,0.6443333333333333,0.39966666666666667,0.4093333333333333,0.377,0.6663333333333333,mds
50,0.2,100,8,10,0.64,0.6443333333333333,0.39966666666666667,0.4093333333333333,0.377,0.6663333333333333,mds
50,0.2,100,10,10,0.6453333333333333,0.6443333333333333,0.39966666666666667,0.4093333333333333,0.377,0.6663333333333333,mds
50,0.2,100,15,10,0.646,0.6443333333333333,0.39966666666666667,0.4093333333333333,0.377,0.6663333333333333,mds
50,0.2,100,20,10,0.644,0.6443333333333333,0.39966666666666667,0.4093333333333333,0.377,0.6663333333333333,mds
50,0.05,100,12,15,0.31266666666666665,0.30955555555555553,0.3635555555555556,0.284,0.22866666666666666,0.308,umap
50,0.05,100,15,15,0.3108888888888889,0.30955555555555553,0.3635555555555556,0.284,0.22866666666666666,0.308,umap
50,0.05,100,20,15,0.31044444444444447,0.30955555555555553,0.3635555555555556,0.284,0.22866666666666666,0.308,umap
50,0.05,100,8,15,0.3108888888888889,0.30955555555555553,0.3635555555555556,0.284,0.22866666666666666,0.308,umap
50,0.05,100,10,15,0.3108888888888889,0.30955555555555553,0.3635555555555556,0.284,0.22866666666666666,0.308,umap
50,0.1,100,8,15,0.5306666666666666,0.5237777777777778,0.42533333333333334,0.398,0.3542222222222222,0.5442222222222223,mds
50,0.1,100,15,15,0.5282222222222223,0.5237777777777778,0.42533333333333334,0.398,0.3542222222222222,0.5442222222222223,mds
