Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.5,100,5,6,0.5263888888888889,0.5108333333333334,dw_pmad,0.015555556
50,0.5,85,25,6,0.5263888888888889,0.5108333333333334,dw_pmad,0.015555556
50,0.5,50,25,6,0.5463888888888889,0.5108333333333334,dw_pmad,0.035555556
50,0.5,100,25,10,0.5836666666666667,0.5586666666666666,dw_pmad,0.025
50,0.5,70,25,10,0.5776666666666667,0.5586666666666666,dw_pmad,0.019
50,0.5,100,5,10,0.5748333333333333,0.5586666666666666,dw_pmad,0.016166667
50,0.5,85,25,10,0.5736666666666667,0.5586666666666666,dw_pmad,0.015
50,0.5,50,25,10,0.5895,0.5586666666666666,dw_pmad,0.030833333
50,0.5,85,5,3,0.49,0.4622222222222222,dw_pmad,0.027777778
50,0.5,100,25,15,0.6126666666666667,0.5954444444444444,dw_pmad,0.017222222
50,0.5,50,5,3,0.47333333333333333,0.4622222222222222,dw_pmad,0.011111111
50,0.5,70,25,15,0.6102222222222222,0.5954444444444444,dw_pmad,0.014777778
50,0.5,100,5,15,0.611,0.5954444444444444,dw_pmad,0.015555556
50,0.5,85,25,15,0.6093333333333333,0.5954444444444444,dw_pmad,0.013888889
50,0.5,50,25,15,0.6141111111111112,0.5954444444444444,dw_pmad,0.018666667
50,0.5,70,5,3,0.4866666666666667,0.4622222222222222,dw_pmad,0.024444444
50,0.5,85,5,6,0.5486111111111112,0.5108333333333334,dw_pmad,0.037777778
50,0.5,50,5,6,0.5222222222222223,0.5108333333333334,dw_pmad,0.011388889
50,0.5,70,5,6,0.5372222222222223,0.5108333333333334,dw_pmad,0.026388889
50,0.5,85,5,10,0.582,0.5586666666666666,dw_pmad,0.023333333
50,0.65,50,10,3,0.6005555555555555,0.5788888888888889,dw_pmad,0.021666667
50,0.65,100,10,3,0.585,0.5788888888888889,dw_pmad,0.006111111
50,0.65,70,10,3,0.6122222222222222,0.5788888888888889,dw_pmad,0.033333333
50,0.5,50,5,10,0.5706666666666667,0.5586666666666666,dw_pmad,0.012
50,0.65,50,1,3,0.605,0.5788888888888889,dw_pmad,0.026111111
50,0.5,70,5,10,0.5766666666666667,0.5586666666666666,dw_pmad,0.018
50,0.5,85,5,15,0.6178888888888889,0.5954444444444444,dw_pmad,0.022444444
50,0.65,50,10,6,0.6305555555555555,0.6275,dw_pmad,0.003055556
50,0.65,100,10,6,0.6325,0.6275,dw_pmad,0.005
50,0.65,100,1,3,0.5877777777777777,0.5788888888888889,dw_pmad,0.008888889
50,0.65,70,10,6,0.6433333333333333,0.6275,dw_pmad,0.015833333
50,0.5,50,5,15,0.6057777777777777,0.5954444444444444,dw_pmad,0.010333333
50,0.65,70,1,3,0.5922222222222222,0.5788888888888889,dw_pmad,0.013333333
50,0.65,50,1,6,0.6472222222222223,0.6275,dw_pmad,0.019722222
50,0.5,70,5,15,0.6152222222222222,0.5954444444444444,dw_pmad,0.019777778
50,0.65,85,1,3,0.6038888888888889,0.5788888888888889,dw_pmad,0.025
50,0.65,50,10,10,0.6701666666666667,0.6581666666666667,dw_pmad,0.012
50,0.65,100,10,10,0.6698333333333333,0.6581666666666667,dw_pmad,0.011666667
50,0.65,70,10,10,0.6791666666666667,0.6581666666666667,dw_pmad,0.021
