Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.4,100,1,15,0.928,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2119.981699,0.66947204,2.916326804,0.267775663,0.271968881,7.919743271
200,0.4,100,6,1,0.878333333,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2107.473539,0.559650335,2.976699527,0.257182185,0.401753798,8.104877188
200,0.4,100,6,3,0.891111111,0.888333333,0.303333333,0.43,0.661666667,0.670555556,dw_pmad,2107.473539,0.559650335,2.976699527,0.257182185,0.401753798,8.104877188
200,0.4,100,6,6,0.919166667,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,dw_pmad,2107.473539,0.559650335,2.976699527,0.257182185,0.401753798,8.104877188
200,0.4,100,6,10,0.918,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2107.473539,0.559650335,2.976699527,0.257182185,0.401753798,8.104877188
200,0.4,100,6,15,0.930222222,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2107.473539,0.559650335,2.976699527,0.257182185,0.401753798,8.104877188
200,0.4,100,12,1,0.866666667,0.876666667,0.155,0.276666667,0.623333333,0.601666667,pca,2114.09676,1.196194775,2.955426827,0.260601529,0.353339375,7.83022485
200,0.4,100,12,3,0.886111111,0.888333333,0.303333333,0.43,0.661666667,0.670555556,pca,2114.09676,1.196194775,2.955426827,0.260601529,0.353339375,7.83022485
200,0.4,100,12,6,0.912222222,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,pca,2114.09676,1.196194775,2.955426827,0.260601529,0.353339375,7.83022485
200,0.4,100,12,10,0.917833333,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2114.09676,1.196194775,2.955426827,0.260601529,0.353339375,7.83022485
200,0.4,100,12,15,0.926666667,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2114.09676,1.196194775,2.955426827,0.260601529,0.353339375,7.83022485
200,0.4,100,18,1,0.878333333,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2169.229303,1.862303354,3.608638834,1.130839642,0.903958051,7.915662897
