Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Fasttext,FastICA,298,14,6,0.30666666666666664,0.043379000009736046
Fasttext,FastICA,298,14,10,0.3285,0.043379000009736046
Fasttext,FastICA,298,14,15,0.35944444444444446,0.043379000009736046
Fasttext,FastICA,298,29,1,0.36666666666666664,0.10307740001007915
Fasttext,FastICA,298,29,3,0.4216666666666667,0.10307740001007915
Fasttext,FastICA,298,29,6,0.4519444444444444,0.10307740001007915
Fasttext,FastICA,298,29,10,0.4731666666666667,0.10307740001007915
Fasttext,FastICA,298,29,15,0.4912222222222222,0.10307740001007915
Fasttext,FastICA,298,59,1,0.48,0.1788609999930486
Fasttext,FastICA,298,59,3,0.5572222222222222,0.1788609999930486
Fasttext,FastICA,298,59,6,0.5677777777777778,0.1788609999930486
Fasttext,FastICA,298,59,10,0.584,0.1788609999930486
Fasttext,FastICA,298,59,15,0.6024444444444444,0.1788609999930486
Fasttext,FastICA,298,119,1,0.5766666666666667,0.5782659999968018
Fasttext,FastICA,298,119,3,0.5844444444444444,0.5782659999968018
Fasttext,FastICA,298,119,6,0.5991666666666666,0.5782659999968018
Fasttext,FastICA,298,119,10,0.6233333333333333,0.5782659999968018
Fasttext,FastICA,298,119,15,0.6485555555555556,0.5782659999968018
Fasttext,FastICA,298,178,1,0.48,1.0485838999738917
Fasttext,FastICA,298,178,3,0.5116666666666667,1.0485838999738917
Fasttext,FastICA,298,178,6,0.5086111111111111,1.0485838999738917
Fasttext,FastICA,298,178,10,0.5303333333333333,1.0485838999738917
Fasttext,FastICA,298,178,15,0.5558888888888889,1.0485838999738917
Fasttext,tSNE,298,14,1,0.05,16.233090000023367
Fasttext,tSNE,298,14,3,0.08611111111111111,16.233090000023367
Fasttext,tSNE,298,14,6,0.10861111111111112,16.233090000023367
Fasttext,tSNE,298,14,10,0.12216666666666667,16.233090000023367
Fasttext,tSNE,298,14,15,0.1388888888888889,16.233090000023367
Fasttext,tSNE,298,29,1,0.09,20.846796700003324
Fasttext,tSNE,298,29,3,0.10944444444444444,20.846796700003324
Fasttext,tSNE,298,29,6,0.1375,20.846796700003324
Fasttext,tSNE,298,29,10,0.15716666666666668,20.846796700003324
Fasttext,tSNE,298,29,15,0.1708888888888889,20.846796700003324
Fasttext,tSNE,298,59,1,0.06333333333333334,32.81461499998113
Fasttext,tSNE,298,59,3,0.10444444444444445,32.81461499998113
Fasttext,tSNE,298,59,6,0.12777777777777777,32.81461499998113
Fasttext,tSNE,298,59,10,0.13983333333333334,32.81461499998113
Fasttext,tSNE,298,59,15,0.1461111111111111,32.81461499998113
Fasttext,tSNE,298,119,1,0.095,52.222654300014256
Fasttext,tSNE,298,119,3,0.11555555555555555,52.222654300014256
Fasttext,tSNE,298,119,6,0.1363888888888889,52.222654300014256
Fasttext,tSNE,298,119,10,0.15166666666666667,52.222654300014256
Fasttext,tSNE,298,119,15,0.16477777777777777,52.222654300014256
Fasttext,tSNE,298,178,1,0.06,67.55875629998627
Fasttext,tSNE,298,178,3,0.09277777777777778,67.55875629998627
Fasttext,tSNE,298,178,6,0.11027777777777778,67.55875629998627
Fasttext,tSNE,298,178,10,0.126,67.55875629998627
Fasttext,tSNE,298,178,15,0.13766666666666666,67.55875629998627
Fasttext,NMF,298,14,1,0.03,0.5778557999874465
Fasttext,NMF,298,14,3,0.06222222222222222,0.5778557999874465
Fasttext,NMF,298,14,6,0.07,0.5778557999874465
Fasttext,NMF,298,14,10,0.08516666666666667,0.5778557999874465
Fasttext,NMF,298,14,15,0.09911111111111111,0.5778557999874465
Fasttext,NMF,298,29,1,0.0016666666666666668,1.282478400011314
Fasttext,NMF,298,29,3,0.009444444444444445,1.282478400011314
Fasttext,NMF,298,29,6,0.01611111111111111,1.282478400011314
Fasttext,NMF,298,29,10,0.023166666666666665,1.282478400011314
Fasttext,NMF,298,29,15,0.030111111111111113,1.282478400011314
Fasttext,NMF,298,59,1,0.0,3.9187291999987792
Fasttext,NMF,298,59,3,0.0005555555555555556,3.9187291999987792
Fasttext,NMF,298,59,6,0.004166666666666667,3.9187291999987792
Fasttext,NMF,298,59,10,0.0045,3.9187291999987792
Fasttext,NMF,298,59,15,0.006,3.9187291999987792
Fasttext,NMF,298,119,1,0.0,14.229326300002867
Fasttext,NMF,298,119,3,0.0,14.229326300002867
Fasttext,NMF,298,119,6,0.0019444444444444444,14.229326300002867
Fasttext,NMF,298,119,10,0.003,14.229326300002867
Fasttext,NMF,298,119,15,0.0032222222222222222,14.229326300002867
Fasttext,NMF,298,178,1,0.0,32.722321400011424
Fasttext,NMF,298,178,3,0.0,32.722321400011424
Fasttext,NMF,298,178,6,0.0,32.722321400011424
Fasttext,NMF,298,178,10,0.0025,32.722321400011424
Fasttext,NMF,298,178,15,0.002777777777777778,32.722321400011424
Fasttext,LLE,298,14,1,0.06666666666666667,0.1430230000114534
Fasttext,LLE,298,14,3,0.12111111111111111,0.1430230000114534
Fasttext,LLE,298,14,6,0.12777777777777777,0.1430230000114534
Fasttext,LLE,298,14,10,0.1365,0.1430230000114534
Fasttext,LLE,298,14,15,0.13077777777777777,0.1430230000114534
Fasttext,LLE,298,29,1,0.12,0.16754249998484738
Fasttext,LLE,298,29,3,0.1388888888888889,0.16754249998484738
