Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Isolet,tSNE,200,80,3,0.085,26.31390740000643
Isolet,tSNE,200,80,6,0.12277777777777778,26.31390740000643
Isolet,tSNE,200,80,10,0.1565,26.31390740000643
Isolet,tSNE,200,80,15,0.18733333333333332,26.31390740000643
Isolet,tSNE,200,120,1,0.05,36.52972809999483
Isolet,tSNE,200,120,3,0.08333333333333333,36.52972809999483
Isolet,tSNE,200,120,6,0.1238888888888889,36.52972809999483
Isolet,tSNE,200,120,10,0.15833333333333333,36.52972809999483
Isolet,tSNE,200,120,15,0.1922222222222222,36.52972809999483
Isolet,NMF,200,10,1,0.335,0.28765429998748004
Isolet,NMF,200,10,3,0.37444444444444447,0.28765429998748004
Isolet,NMF,200,10,6,0.4280555555555556,0.28765429998748004
Isolet,NMF,200,10,10,0.48,0.28765429998748004
Isolet,NMF,200,10,15,0.5213333333333333,0.28765429998748004
Isolet,NMF,200,20,1,0.4033333333333333,0.5577064999961294
Isolet,NMF,200,20,3,0.4411111111111111,0.5577064999961294
Isolet,NMF,200,20,6,0.4872222222222222,0.5577064999961294
Isolet,NMF,200,20,10,0.514,0.5577064999961294
Isolet,NMF,200,20,15,0.5385555555555556,0.5577064999961294
Isolet,NMF,200,40,1,0.355,1.1317408000177238
Isolet,NMF,200,40,3,0.37333333333333335,1.1317408000177238
Isolet,NMF,200,40,6,0.4141666666666667,1.1317408000177238
Isolet,NMF,200,40,10,0.43066666666666664,1.1317408000177238
Isolet,NMF,200,40,15,0.4441111111111111,1.1317408000177238
Isolet,NMF,200,80,1,0.25166666666666665,3.7049370000022464
Isolet,NMF,200,80,3,0.2627777777777778,3.7049370000022464
Isolet,NMF,200,80,6,0.26666666666666666,3.7049370000022464
Isolet,NMF,200,80,10,0.276,3.7049370000022464
Isolet,NMF,200,80,15,0.2867777777777778,3.7049370000022464
Isolet,NMF,200,120,1,0.21,8.871985300007509
Isolet,NMF,200,120,3,0.19444444444444445,8.871985300007509
Isolet,NMF,200,120,6,0.1938888888888889,8.871985300007509
Isolet,NMF,200,120,10,0.2075,8.871985300007509
Isolet,NMF,200,120,15,0.21711111111111112,8.871985300007509
Isolet,LLE,200,10,1,0.22333333333333333,0.13764420000370592
Isolet,LLE,200,10,3,0.24444444444444444,0.13764420000370592
Isolet,LLE,200,10,6,0.29333333333333333,0.13764420000370592
Isolet,LLE,200,10,10,0.3438333333333333,0.13764420000370592
Isolet,LLE,200,10,15,0.3873333333333333,0.13764420000370592
Isolet,LLE,200,20,1,0.21833333333333332,0.13664620000054128
Isolet,LLE,200,20,3,0.2833333333333333,0.13664620000054128
Isolet,LLE,200,20,6,0.3425,0.13664620000054128
Isolet,LLE,200,20,10,0.402,0.13664620000054128
Isolet,LLE,200,20,15,0.44333333333333336,0.13664620000054128
Isolet,LLE,200,40,1,0.26,0.13936800000374205
Isolet,LLE,200,40,3,0.30666666666666664,0.13936800000374205
Isolet,LLE,200,40,6,0.37277777777777776,0.13936800000374205
Isolet,LLE,200,40,10,0.4151666666666667,0.13936800000374205
Isolet,LLE,200,40,15,0.4487777777777778,0.13936800000374205
Isolet,LLE,200,80,1,0.275,0.1533196000091266
Isolet,LLE,200,80,3,0.3438888888888889,0.1533196000091266
Isolet,LLE,200,80,6,0.39305555555555555,0.1533196000091266
Isolet,LLE,200,80,10,0.3975,0.1533196000091266
Isolet,LLE,200,80,15,0.37122222222222223,0.1533196000091266
Isolet,LLE,200,120,1,0.335,0.18243809998966753
Isolet,LLE,200,120,3,0.36444444444444446,0.18243809998966753
Isolet,LLE,200,120,6,0.37,0.18243809998966753
Isolet,LLE,200,120,10,0.3405,0.18243809998966753
Isolet,LLE,200,120,15,0.2991111111111111,0.18243809998966753
Isolet,Autoencoder,200,10,1,0.195,1.1104782999900635
