Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Arcene,VAE,200,80,6,0.4287317620650954,1.299041499994928
Arcene,VAE,200,80,10,0.48013468013468014,1.299041499994928
Arcene,VAE,200,80,15,0.5337822671156004,1.299041499994928
Arcene,VAE,200,120,1,0.3164983164983165,1.239336699974956
Arcene,VAE,200,120,3,0.36475869809203143,1.239336699974956
Arcene,VAE,200,120,6,0.4377104377104377,1.239336699974956
Arcene,VAE,200,120,10,0.49023569023569025,1.239336699974956
Arcene,VAE,200,120,15,0.5315375982042648,1.239336699974956
Arcene,FeatureAgglomeration,200,10,1,0.13468013468013468,0.019562299974495545
Arcene,FeatureAgglomeration,200,10,3,0.19528619528619529,0.019562299974495545
Arcene,FeatureAgglomeration,200,10,6,0.26038159371492703,0.019562299974495545
Arcene,FeatureAgglomeration,200,10,10,0.32087542087542087,0.019562299974495545
Arcene,FeatureAgglomeration,200,10,15,0.372615039281706,0.019562299974495545
Arcene,FeatureAgglomeration,200,20,1,0.1414141414141414,0.008166799991158769
Arcene,FeatureAgglomeration,200,20,3,0.21885521885521886,0.008166799991158769
Arcene,FeatureAgglomeration,200,20,6,0.2884399551066218,0.008166799991158769
Arcene,FeatureAgglomeration,200,20,10,0.3461279461279461,0.008166799991158769
Arcene,FeatureAgglomeration,200,20,15,0.3977553310886644,0.008166799991158769
Arcene,FeatureAgglomeration,200,40,1,0.24915824915824916,0.007329200016101822
Arcene,FeatureAgglomeration,200,40,3,0.30190796857463525,0.007329200016101822
Arcene,FeatureAgglomeration,200,40,6,0.4057239057239057,0.007329200016101822
Arcene,FeatureAgglomeration,200,40,10,0.4686868686868687,0.007329200016101822
Arcene,FeatureAgglomeration,200,40,15,0.5135802469135803,0.007329200016101822
Arcene,FeatureAgglomeration,200,80,1,0.24915824915824916,0.0076991000096313655
Arcene,FeatureAgglomeration,200,80,3,0.3838383838383838,0.0076991000096313655
Arcene,FeatureAgglomeration,200,80,6,0.44219977553310885,0.0076991000096313655
Arcene,FeatureAgglomeration,200,80,10,0.47845117845117846,0.0076991000096313655
Arcene,FeatureAgglomeration,200,80,15,0.5079685746352413,0.0076991000096313655
Arcene,FeatureAgglomeration,200,120,1,0.5353535353535354,0.007875199982663617
Arcene,FeatureAgglomeration,200,120,3,0.6565656565656566,0.007875199982663617
Arcene,FeatureAgglomeration,200,120,6,0.6767676767676768,0.007875199982663617
Arcene,FeatureAgglomeration,200,120,10,0.6989898989898989,0.007875199982663617
Arcene,FeatureAgglomeration,200,120,15,0.726374859708193,0.007875199982663617
