Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
PBMC3k,NMF,200,20,6,0.2127777777777778,0.4225871999806259
PBMC3k,NMF,200,20,10,0.23633333333333334,0.4225871999806259
PBMC3k,NMF,200,20,15,0.272,0.4225871999806259
PBMC3k,NMF,200,40,1,0.37833333333333335,1.1623974999820348
PBMC3k,NMF,200,40,3,0.2816666666666667,1.1623974999820348
PBMC3k,NMF,200,40,6,0.29555555555555557,1.1623974999820348
PBMC3k,NMF,200,40,10,0.31833333333333336,1.1623974999820348
PBMC3k,NMF,200,40,15,0.3427777777777778,1.1623974999820348
PBMC3k,NMF,200,80,1,0.3983333333333333,3.7976690999930725
PBMC3k,NMF,200,80,3,0.2877777777777778,3.7976690999930725
PBMC3k,NMF,200,80,6,0.2866666666666667,3.7976690999930725
PBMC3k,NMF,200,80,10,0.30883333333333335,3.7976690999930725
PBMC3k,NMF,200,80,15,0.32566666666666666,3.7976690999930725
PBMC3k,NMF,200,120,1,0.33666666666666667,8.68911589999334
PBMC3k,NMF,200,120,3,0.24833333333333332,8.68911589999334
PBMC3k,NMF,200,120,6,0.23333333333333334,8.68911589999334
PBMC3k,NMF,200,120,10,0.24466666666666667,8.68911589999334
PBMC3k,NMF,200,120,15,0.25522222222222224,8.68911589999334
PBMC3k,LLE,200,10,1,0.2683333333333333,0.1268139999883715
PBMC3k,LLE,200,10,3,0.15055555555555555,0.1268139999883715
PBMC3k,LLE,200,10,6,0.11944444444444445,0.1268139999883715
PBMC3k,LLE,200,10,10,0.10133333333333333,0.1268139999883715
PBMC3k,LLE,200,10,15,0.08833333333333333,0.1268139999883715
PBMC3k,LLE,200,20,1,0.28,0.11893320002127439
PBMC3k,LLE,200,20,3,0.18388888888888888,0.11893320002127439
PBMC3k,LLE,200,20,6,0.1502777777777778,0.11893320002127439
PBMC3k,LLE,200,20,10,0.124,0.11893320002127439
PBMC3k,LLE,200,20,15,0.10533333333333333,0.11893320002127439
PBMC3k,LLE,200,40,1,0.30333333333333334,0.1249000999960117
PBMC3k,LLE,200,40,3,0.2,0.1249000999960117
PBMC3k,LLE,200,40,6,0.165,0.1249000999960117
PBMC3k,LLE,200,40,10,0.1355,0.1249000999960117
PBMC3k,LLE,200,40,15,0.11944444444444445,0.1249000999960117
PBMC3k,LLE,200,80,1,0.31333333333333335,0.130469700001413
PBMC3k,LLE,200,80,3,0.2338888888888889,0.130469700001413
PBMC3k,LLE,200,80,6,0.19666666666666666,0.130469700001413
PBMC3k,LLE,200,80,10,0.16316666666666665,0.130469700001413
PBMC3k,LLE,200,80,15,0.13677777777777778,0.130469700001413
PBMC3k,LLE,200,120,1,0.3883333333333333,0.13835049999761395
PBMC3k,LLE,200,120,3,0.27555555555555555,0.13835049999761395
PBMC3k,LLE,200,120,6,0.23166666666666666,0.13835049999761395
PBMC3k,LLE,200,120,10,0.18816666666666668,0.13835049999761395
PBMC3k,LLE,200,120,15,0.153,0.13835049999761395
PBMC3k,Autoencoder,200,10,1,0.24333333333333335,0.7325952000101097
